,id_location,city,Start_date,End_date,Season,Rain,TempMin,TempMax,Sunshine,state,lga
0,0,Adelaide,2009-01-01,2009-02-28,Summer,0.03389830508474576,18.308474576271188,31.71186440677966,11.46779661016949,South Australia,Adelaide
1,0,Adelaide,2009-03-01,2009-05-31,Autumn,1.7173913043478262,12.86304347826087,22.409782608695654,7.271910112359552,South Australia,Adelaide
2,0,Adelaide,2009-06-01,2009-08-31,Winter,2.356521739130435,9.018478260869566,16.830434782608698,5.394318181818182,South Australia,Adelaide
3,0,Adelaide,2009-09-01,2009-11-30,Spring,1.3577777777777778,13.315384615384614,24.082417582417587,8.631460674157303,South Australia,Adelaide
4,0,Adelaide,2009-12-01,2010-02-28,Summer,0.36666666666666664,17.63333333333333,30.388888888888893,9.952941176470588,South Australia,Adelaide
5,0,Adelaide,2010-03-01,2010-05-31,Autumn,1.3630434782608696,13.642391304347825,23.833695652173912,7.526744186046511,South Australia,Adelaide
6,0,Adelaide,2010-06-01,2010-08-31,Winter,2.617391304347826,7.422826086956523,15.445652173913041,7.796296296296297,South Australia,Adelaide
7,0,Adelaide,2010-09-01,2010-11-30,Spring,1.3692307692307693,11.687912087912087,20.87472527472528,NaN,South Australia,Adelaide
8,0,Adelaide,2010-12-01,2011-02-28,Summer,1.64,17.62,28.791111111111114,NaN,South Australia,Adelaide
9,0,Adelaide,2011-03-01,2011-05-31,Autumn,2.3161290322580643,12.604838709677422,21.277419354838706,NaN,South Australia,Adelaide
10,0,Adelaide,2011-06-01,2011-08-31,Winter,2.146067415730337,8.554347826086957,16.70978260869565,NaN,South Australia,Adelaide
11,0,Adelaide,2011-09-01,2011-11-30,Spring,1.2593406593406593,12.659340659340662,23.202197802197798,NaN,South Australia,Adelaide
12,0,Adelaide,2011-12-01,2012-02-29,Summer,0.6725274725274725,17.557142857142853,29.112087912087915,NaN,South Australia,Adelaide
13,0,Adelaide,2012-03-01,2012-05-31,Autumn,1.6695652173913043,12.314130434782607,22.847826086956527,NaN,South Australia,Adelaide
14,0,Adelaide,2012-06-01,2012-08-31,Winter,2.8326086956521737,7.789130434782609,15.492391304347828,NaN,South Australia,Adelaide
15,0,Adelaide,2012-09-01,2012-11-30,Spring,0.6651685393258427,11.873626373626374,23.537362637362637,NaN,South Australia,Adelaide
16,0,Adelaide,2013-01-01,2013-01-31,Summer,0.3741935483870968,16.66774193548387,30.422580645161293,NaN,South Australia,Adelaide
17,0,Adelaide,2013-03-01,2013-05-31,Autumn,1.1695652173913043,14.57391304347826,24.28260869565218,NaN,South Australia,Adelaide
18,0,Adelaide,2013-06-01,2013-08-31,Winter,3.0434782608695654,8.958695652173914,16.6195652173913,NaN,South Australia,Adelaide
19,0,Adelaide,2013-09-01,2013-11-30,Spring,0.8813186813186813,12.339560439560438,23.24615384615385,NaN,South Australia,Adelaide
20,0,Adelaide,2013-12-01,2014-02-28,Summer,1.3844444444444446,17.29888888888889,30.279999999999998,NaN,South Australia,Adelaide
21,0,Adelaide,2014-03-01,2014-05-31,Autumn,1.4565217391304348,13.759340659340658,23.639130434782604,NaN,South Australia,Adelaide
22,0,Adelaide,2014-06-01,2014-08-31,Winter,2.4413043478260867,8.350561797752807,16.53846153846154,NaN,South Australia,Adelaide
23,0,Adelaide,2014-09-01,2014-11-30,Spring,0.6681318681318681,12.496703296703297,24.543956043956044,NaN,South Australia,Adelaide
24,0,Adelaide,2014-12-01,2015-02-28,Summer,0.54,16.957777777777782,29.342222222222226,NaN,South Australia,Adelaide
25,0,Adelaide,2015-03-01,2015-05-31,Autumn,1.4304347826086958,11.857608695652177,21.51086956521739,NaN,South Australia,Adelaide
26,0,Adelaide,2015-06-01,2015-08-31,Winter,1.4934782608695654,7.690217391304348,15.530434782608697,NaN,South Australia,Adelaide
27,0,Adelaide,2015-09-01,2015-11-30,Spring,0.7802197802197802,12.340659340659338,24.313186813186814,NaN,South Australia,Adelaide
28,0,Adelaide,2015-12-01,2016-02-29,Summer,0.9460674157303371,17.56153846153846,31.019780219780223,NaN,South Australia,Adelaide
29,0,Adelaide,2016-03-01,2016-05-31,Autumn,1.6637362637362638,13.94782608695652,24.416304347826088,NaN,South Australia,Adelaide
30,0,Adelaide,2016-06-01,2016-08-31,Winter,2.8913043478260874,8.238043478260868,16.331521739130434,NaN,South Australia,Adelaide
31,0,Adelaide,2016-09-01,2016-11-30,Spring,2.992682926829268,10.59010989010989,21.03956043956044,NaN,South Australia,Adelaide
32,0,Adelaide,2016-12-01,2017-02-28,Summer,1.9241379310344828,17.224999999999998,30.034090909090903,NaN,South Australia,Adelaide
33,0,Adelaide,2017-03-01,2017-05-31,Autumn,1.3456521739130434,13.390217391304349,23.925,NaN,South Australia,Adelaide
34,1,Albany,2009-01-01,2009-02-28,Summer,0.5220338983050847,15.661016949152541,23.086440677966102,8.203389830508474,Western Australia,Albany
35,1,Albany,2009-03-01,2009-05-31,Autumn,1.5956521739130436,13.23369565217391,20.967391304347824,6.915384615384615,Western Australia,Albany
36,1,Albany,2009-06-01,2009-08-31,Winter,5.234782608695652,9.648913043478261,16.5,5.492307692307692,Western Australia,Albany
37,1,Albany,2009-09-01,2009-11-30,Spring,2.802197802197802,11.642857142857142,18.494505494505493,6.551648351648352,Western Australia,Albany
38,1,Albany,2009-12-01,2010-02-28,Summer,0.3644444444444445,16.22888888888889,22.287777777777777,8.208888888888888,Western Australia,Albany
39,1,Albany,2010-03-01,2010-05-31,Autumn,1.8456521739130434,13.694565217391302,20.91413043478261,6.143956043956044,Western Australia,Albany
